"SECONDS";"PID";"VALUE";"UNITS"
"61758.651415";"Обороты двигателя";"904";"rpm"
"61758.853415";"Скорость автомобиля";"0";"km/h"
"61759.077415";"Температура охлаждающей жидкости";"36";"℃"
"61759.470415";"Массовый расход воздуха";"8.25";"g/sec"
"61759.470415";"Мгновенный расход топлива (л/ч)";"2.76768241543193";"L/h"
"61759.470415";"Моментальная мощность двигателя (от расхода топлива)";"7.96377551020408";"hp"
"61759.470415";"Расчетный наддув";"-0.246865219928579";"bar"
"61759.683415";"Обороты двигателя";"907";"rpm"
"61759.870415";"Пройденный путь";"0";"km"
"61759.870415";"Пройденный путь (общий)";"25.7151346348056";"km"
"61759.870415";"Скорость автомобиля";"0";"km/h"
"61760.065415";"Температура охлаждающей жидкости";"36";"℃"
"61760.438415";"Использовано топлива";"0.000742771079116578";"L"
"61760.438415";"Использовано топлива (общий)";"3.22162001579952";"L"
"61760.438415";"Массовый расход воздуха";"8.25";"g/sec"
"61760.438415";"Мгновенный расход топлива (л/ч)";"2.76768241543193";"L/h"
"61760.438415";"Моментальная мощность двигателя (от расхода топлива)";"7.96377551020408";"hp"
"61760.438415";"Расчетный наддув";"-0.249400119972916";"bar"
"61760.438415";"Средний расход топлива (л/100 км) (общий)";"12.5281086859994";"L/100km"
"61760.438415";"Стоимость топлива";"0.000750198789907744";"$"
"61760.438415";"Стоимость топлива (общий)";"3.25";"$"
"61760.637415";"Температура всасываемого воздуха";"30";"℃"
"61760.835415";"Обороты двигателя";"919";"rpm"
"61761.021415";"Пройденный путь";"0";"km"
"61761.021415";"Пройденный путь (общий)";"25.7151346348056";"km"
"61761.021415";"Скорость автомобиля";"0";"km/h"
"61761.021415";"Средняя скорость";"0";"km/h"
"61761.217415";"Температура охлаждающей жидкости";"36";"℃"
"61761.598415";"Использовано топлива";"0.00163409420603858";"L"
"61761.598415";"Использовано топлива (общий)";"3.22251133892644";"L"
"61761.598415";"Массовый расход воздуха";"8.25";"g/sec"
"61761.598415";"Мгновенный расход топлива (л/ч)";"2.76768241543193";"L/h"
"61761.598415";"Моментальная мощность двигателя (от расхода топлива)";"7.96377551020408";"hp"
"61761.598415";"Расчетный наддув";"-0.176530728459732";"bar"
"61761.598415";"Средний расход топлива (л/100 км) (общий)";"12.5315748281744";"L/100km"
"61761.598415";"Стоимость топлива";"0.00165043514809897";"$"
"61761.598415";"Стоимость топлива (общий)";"3.25";"$"
"61761.775415";"Обороты двигателя";"901";"rpm"
"61761.958415";"Пройденный путь";"0";"km"
"61761.958415";"Пройденный путь (общий)";"25.7151346348056";"km"
"61761.958415";"Скорость автомобиля";"0";"km/h"
"61761.958415";"Средняя скорость";"0";"km/h"
"61762.141415";"Температура охлаждающей жидкости";"37";"℃"
"61762.552415";"Использовано топлива";"0.00241270493663219";"L"
"61762.552415";"Использовано топлива (общий)";"3.22328994965703";"L"
"61762.552415";"Массовый расход воздуха";"8.75";"g/sec"
"61762.552415";"Мгновенный расход топлива (л/ч)";"2.93542074363992";"L/h"
"61762.552415";"Моментальная мощность двигателя (от расхода топлива)";"8.44642857142857";"hp"
"61762.552415";"Расчетный наддув";"-0.108091577738785";"bar"
"61762.552415";"Средний расход топлива (л/100 км) (общий)";"12.5346026588338";"L/100km"
"61762.552415";"Стоимость топлива";"0.00243683198599851";"$"
"61762.552415";"Стоимость топлива (общий)";"3.25";"$"
"61762.762415";"Обороты двигателя";"2036";"rpm"
"61762.973415";"Пройденный путь";"0";"km"
"61762.973415";"Пройденный путь (общий)";"25.7151346348056";"km"
"61762.973415";"Скорость автомобиля";"0";"km/h"
"61762.973415";"Средняя скорость";"0";"km/h"
"61762.973415";"Ускорение";"0";"m_sec2"
"61763.203415";"Температура охлаждающей жидкости";"37";"℃"
"61763.581415";"Использовано топлива";"0.00356328262743454";"L"
"61763.581415";"Использовано топлива (общий)";"3.22444052734784";"L"
"61763.581415";"Массовый расход воздуха";"12";"g/sec"
"61763.581415";"Мгновенный расход топлива (л/ч)";"4.02571987699189";"L/h"
"61763.581415";"Моментальная мощность двигателя (от расхода топлива)";"11.5836734693878";"hp"
"61763.581415";"Расчетный наддув";"-0.500528435547439";"bar"
"61763.581415";"Средний расход топлива (л/100 км) (общий)";"12.539076979918";"L/100km"
"61763.581415";"Стоимость топлива";"0.00359891545370888";"$"
"61763.581415";"Стоимость топлива (общий)";"3.25";"$"
"61763.785415";"Обороты двигателя";"1184";"rpm"
"61763.970415";"Мгновенный расход топлива (л/100 км)";"402.571987699189";"L/100km"
"61763.970415";"Пройденный путь";"0.000276955722222222";"km"
"61763.970415";"Пройденный путь (общий)";"25.7154115905278";"km"
"61763.970415";"Скорость автомобиля";"1";"km/h"
"61763.970415";"Средняя скорость";"0.243287407649103";"km/h"
"61763.970415";"Ускорение";"0.0677453124084973";"m_sec2"
"61764.156415";"Температура охлаждающей жидкости";"37";"℃"
"61764.538415";"Использовано топлива";"0.00434333946044171";"L"
"61764.538415";"Использовано топлива (общий)";"3.22522058418084";"L"
"61764.538415";"Массовый расход воздуха";"8.75";"g/sec"
"61764.538415";"Мгновенный расход топлива (л/ч)";"2.93542074363992";"L/h"
"61764.538415";"Моментальная мощность двигателя (от расхода топлива)";"8.44642857142857";"hp"
"61764.538415";"Расчетный наддув";"-0.370363269234067";"bar"
"61764.538415";"Средний расход топлива (л/100 км)";"1568.24326487709";"L/100km"
"61764.538415";"Средний расход топлива (л/100 км) (общий)";"12.5419753552335";"L/100km"
"61764.538415";"Стоимость топлива";"0.00438677285504613";"$"
"61764.538415";"Стоимость топлива (общий)";"3.25";"$"
"61764.719415";"Обороты двигателя";"980";"rpm"
